Ave_close,Ave_open,CostPercentOfTxVol,DATE,Franc_Can_Conversion_rate,Franc_Can_Reciprocal_rate,Franc_EUR_Conversion_rate,Franc_Euro_Reciprocal_rate,Franc_GBP_Conversion_rate,Franc_GBP_Reciprocal_rate,Franc_USD_Conversion_rate,Franc_USD_Reciprocal_rate,should_have_bought
2.247666667,2.279333333,0.405060333,11/22/2011,1.1336,0.8821,0.8099,1.2347,0.6988,1.4309,1.0934,0.9146,TRUE
2.399633333,2.36599,0.571379919,11/23/2011,1.1388,0.8781,0.8141,1.2283,0.7005,1.4275,1.0866,0.9203,TRUE
2.574033333,2.3889,3.662688656,11/25/2011,1.1287,0.886,0.8127,1.2304,0.6959,1.437,1.0763,0.9291,TRUE
2.57,2.53997,0.339633625,11/29/2011,1.1197,0.8931,0.8151,1.2268,0.6961,1.4366,1.0875,0.9195,TRUE
2.724396667,2.55766,0.154478788,11/30/2011,1.1197,0.8931,0.8162,1.2251,0.6992,1.4303,1.0981,0.9107,TRUE
2.984033333,2.911466667,0.376206404,12/1/2011,1.1133,0.8982,0.8114,1.2325,0.6971,1.4345,1.0943,0.9139,TRUE
3.176666667,3.113333333,0.237357719,12/2/2011,1.1026,0.9069,0.8104,1.2339,0.6957,1.4373,1.0847,0.9219,TRUE
2.850933333,2.79402,0.136530635,12/6/2011,1.0918,0.9159,0.8056,1.2413,0.6927,1.4436,1.0792,0.9266,TRUE
2.953333333,2.876666667,0.138392197,12/7/2011,1.0922,0.9156,0.8074,1.2385,0.6889,1.4517,1.0809,0.9252,TRUE
3.013636667,2.972333333,0.19746304,12/8/2011,1.099,0.9099,0.8092,1.2358,0.6897,1.45,1.0782,0.9275,TRUE
3.050266667,3.00332,0.645234713,12/9/2011,1.1035,0.9062,0.8093,1.2357,0.6916,1.4459,1.0818,0.9244,TRUE
3.227366667,3.046666667,2.167924013,12/12/2011,1.0976,0.9111,0.81,1.2345,0.685,1.4599,1.0682,0.9361,TRUE
3.238333333,3.280003333,3.973010482,12/13/2011,1.0918,0.9159,0.8108,1.2333,0.6837,1.4625,1.0616,0.9419,TRUE
3.279966667,3.167736667,5.641148045,12/14/2011,1.0918,0.9159,0.8089,1.2363,0.6794,1.472,1.0492,0.9531,FALSE
3.249666667,3.222816667,4.342302447,12/15/2011,1.1,0.9091,0.8178,1.2228,0.6872,1.4552,1.0641,0.9397,FALSE
3.230666667,3.219403333,3.842189831,12/16/2011,1.1082,0.9024,0.8191,1.2209,0.6877,1.4542,1.0668,0.9374,TRUE
3.287666667,3.19187,5.692571928,12/19/2011,1.1067,0.9036,0.8204,1.2189,0.6876,1.4544,1.0678,0.9365,TRUE
3.656733333,3.286333333,3.424554124,12/20/2011,1.1047,0.9052,0.8215,1.2173,0.6853,1.4592,1.0741,0.931,TRUE
4.104666667,3.9234,4.716344858,12/21/2011,1.0968,0.9117,0.8178,1.2228,0.6801,1.4704,1.0663,0.9378,FALSE
4.04,4.1,6.569632034,12/22/2011,1.09,0.9174,0.8181,1.2224,0.6812,1.4681,1.0672,0.9371,FALSE
3.9757,3.971766667,7.896053618,12/23/2011,1.0882,0.9189,0.8175,1.2232,0.6827,1.4647,1.066,0.9381,TRUE
4.182,4.036,10.30421934,12/26/2011,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,FALSE
4.106,4.181666667,9.613777766,12/27/2011,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,FALSE
4.094703333,4.08,8.041785043,12/28/2011,1.085,0.9217,0.8203,1.2191,0.6849,1.46,1.0602,0.9432,TRUE
4.195173333,4.093323333,6.018874157,12/29/2011,1.0848,0.9218,0.8203,1.219,0.6906,1.448,1.0625,0.9412,TRUE
4.242333333,4.2,7.582560561,12/30/2011,1.0846,0.922,0.8221,1.2164,0.6865,1.4567,1.0665,0.9377,TRUE
5.00922,4.60074,7.35953081,1/2/2012,1.096335838,0.913507514,0.82072948,1.218603854,0.681853757,1.467274566,1.078,0.928243353,TRUE
5.093926667,5.183766667,9.593204734,1/3/2012,1.0827,0.9236,0.8215,1.2172,0.6855,1.4589,1.073,0.9319,FALSE
4.980266667,5.200626667,6.495535354,1/4/2012,1.076,0.9294,0.8211,1.2179,0.679,1.4728,1.0617,0.9419,TRUE
5.577276667,4.873933333,3.484661874,1/5/2012,1.0702,0.9344,0.8211,1.2178,0.6781,1.4748,1.0495,0.9528,TRUE
6.785533333,5.626673333,4.898525395,1/6/2012,1.0707,0.934,0.8225,1.2158,0.6782,1.4745,1.0464,0.9556,TRUE
6.90486,6.618866667,5.367299525,1/9/2012,1.0789,0.9269,0.8242,1.2134,0.6805,1.4696,1.0503,0.9521,FALSE
6.275566667,6.930873333,6.786016645,1/10/2012,1.0715,0.9333,0.8247,1.2125,0.6807,1.4692,1.0542,0.9486,TRUE
6.60734,6.255956667,6.934861697,1/11/2012,1.0668,0.9374,0.8251,1.212,0.683,1.4641,1.0467,0.9554,TRUE
6.774,6.636346667,10.54227323,1/12/2012,1.0797,0.9262,0.826,1.2107,0.6909,1.4473,1.0587,0.9445,FALSE
6.60333,6.757666667,3.61491633,1/13/2012,1.0743,0.9308,0.8269,1.2093,0.6854,1.459,1.0486,0.9536,TRUE
6.96759,6.843303333,6.211557543,1/16/2012,1.066,0.9381,0.827,1.2092,0.6835,1.463,1.0482,0.954,FALSE
6.727513333,6.680256667,5.460295323,1/17/2012,1.0674,0.9369,0.827,1.2092,0.6861,1.4575,1.0535,0.9492,FALSE
5.76666,6.52493,4.635021696,1/18/2012,1.0753,0.93,0.8268,1.2094,0.6882,1.453,1.0605,0.943,TRUE
6.29,5.910076667,5.446709539,1/19/2012,1.0812,0.9249,0.8279,1.2079,0.6917,1.4456,1.071,0.9337,FALSE
6.27993,5.84666,4.742538933,1/20/2012,1.0874,0.9196,0.8281,1.2077,0.6899,1.4494,1.0721,0.9328,TRUE
6.366566667,6.324363333,12.20513081,1/23/2012,1.0876,0.9195,0.8278,1.2081,0.6925,1.4441,1.079,0.9268,FALSE
6.236,6.269533333,6.977976377,1/24/2012,1.0866,0.9203,0.8276,1.2083,0.6901,1.449,1.0762,0.9292,TRUE
6.279926667,6.292,6.552961763,1/25/2012,1.087,0.92,0.8277,1.2082,0.6899,1.4495,1.0741,0.931,FALSE
